sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002803-MSA V-Gard,MSA,SAFETY HELMET W/STAZ ON MSA V-Gard,2.604,25,25,25,CM,15625
1001002803-1390399,PROTECTA,SINGLE TAIL ENERGY ABSORBING 1390399,2.917,35,20,25,CM,17500
1001000574-453833,CIGWELD,WELDING HELMET HIDEROK ,3.000,300,250,240,MM,18000
1001002796-7100015361,3M,COMFORT LIFT ELBOW SUPPORT M-76578EN,4.240,441.48,299.24,192.56,MM,25438.80798
1001000896-201228,CLEAN MATIC,GLASS CLOTH 201228,10.667,40,40,40,CM,64000
1001000896-100019,CLEAN MATIC,MICROFIBRE CLOTH 100019,10.667,40,40,40,CM,64000
1001000896-215638,CLEAN MATIC,FLOOR WIPER 60 CM 215638,10.640,152,60,7,CM,63840
1001002794-29-816-5-23,STANLEY,ROLLER REFILL MINI 10/PK 29-816-5-23,2.600,400,260,150,MM,15600
1001002794-29-816-2-23,STANLEY,ROLLER REFILL MINI 2/PK 29-816-2-23,2.600,400,260,150,MM,15600
1001002785-19-026-8,ANSELL,CHEMICAL GLOVES SCORPIO 19-026-8,11.648,560,480,260,MM,69888
1001002785-19-026-10,ANSELL,CHEMICAL GLOVES SCORPIO 19-026-10,11.648,560,480,260,MM,69888
1001002794-93-954,STANLEY,TOOL BAG 16 INC (EU VERSION) 93-954,3.714,406.4,215.9,254,MM,22286.40704
1001002784-ABR-0205,3M,SANDING SPONGE FINE PN.2604ABR-0205,4.916,457.2,254,254,MM,29496.7152
1001002784-ABR-0206,3M,SANDING SPONGE MEDIUM PN.2606ABR-0206,4.916,457.2,254,254,MM,29496.7152
1001002784-ABR-0207,3M,SANDING SPONGE MICROFINE PN.2600ABR-0207,4.916,457.2,254,254,MM,29496.7152
1001002784-ABR-0209,3M,SANDING SPONGE SUPERFINE PN.2602ABR-0209,4.916,457.2,254,254,MM,29496.7152
1001002784-ABR-0210,3M,SANDING SPONGE ULTRAFINE PN.2601ABR-0210,4.916,457.2,254,254,MM,29496.7152
1001002810-06012241K0,BOSCH,STRAIGHT GRINDER GGS 5000 L,3.584,3360,80,80,MM,21504
1001002814-NYAF 1x25 MM2,FEDERAL CABLE,CABLE NYAF 1X25 MM2,5.208,50000,25,25,MM,31250
1001002814-NYYHY 4x25 MM2,FEDERAL CABLE,CABLE NYYHY 4X25 MM2,5.208,50000,25,25,MM,31250
1001002810-060194B004,BOSCH,HEAT GUN GHG 600-3,2.764,255,255,255,MM,16581.375
1001002794-94-167-23,STANLEY,GREASE HOSE COUPLER 12INC 94-167-23,4.000,20,30,40,CM,24000
1001000368-AT90315,GEA,NONREFRIGERATION JUICE DISPENSER AT90315,7.782,23,35,58,CM,46690
1001002796-7100016458,3M,COMFORT LIFT KNEE SUPPORT S-76586EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002796-7100016556,3M,COMFORT LIFT ANKLE SUPPORT M-76582EN,3.925,438.94,294.16,182.4,MM,23551.23089
1001002796-7000021275,3M,WOOL POLISHING PAD 9 IN 5713,1.769,284,131.6,284,MM,10614.3296
1001002794-90-596N-23,STANLEY,TOOL KIT 7PC HOME IMPROVEMENT 90-596N-23,4.000,40,30,20,CM,24000
1001002794-90-597-23,STANLEY,TOOL KIT-18PC HOME IMPROVEMENT 90-597-23,4.000,40,30,20,CM,24000
1001002794-90-603-23,STANLEY,TOOL SET-18 PCS 90-603-23,4.000,40,30,20,CM,24000
1001002794-90-602-23,STANLEY,TOOL SET-7 PCS 90-602-23,4.000,40,30,20,CM,24000
1001002794-92-007-23,STANLEY,AUTO MAINTENANCE SET-45PCS 92-007-23,4.000,40,30,20,CM,24000
1001002804-0 3960 0176,AEG,IMPACT DRILL 13MM SB630 RE-CASE,4.050,450,150,360,MM,24300
1001000574-454305,CIGWELD,WELDING HELMET AUTO DARKENING ,2.170,310,200,210,MM,13020
1001002804-0 3004 1023,AEG,ROUTER RT 1350 E,6.500,500,200,390,MM,39000
1001002835-1289497,BOSSARD,RETAINING RING FOR BORE 70x2.5 1289497 ,1.707,320,320,100,MM,10240
1001002835-1289551,BOSSARD,RETAINING RING FOR BORE 85x3 1289551 ,1.707,320,320,100,MM,10240
1001002835-1289624,BOSSARD,RETAINING RING FOR BORE 100x3 1289624 ,1.707,320,320,100,MM,10240
1001002835-1289705,BOSSARD,RETAINING RING FOR BORE 125x4 1289705 ,1.707,320,320,100,MM,10240
1001002835-1289713,BOSSARD,RETAINING RING FOR BORE 130x4 1289713 ,1.707,320,320,100,MM,10240
1001002835-1289748,BOSSARD,RETAINING RING FOR BORE 140x4 1289748 ,1.707,320,320,100,MM,10240
1001002835-1289764,BOSSARD,RETAINING RING FOR BORE 150x4 1289764 ,1.707,320,320,100,MM,10240
1001002835-1289780,BOSSARD,RETAINING RING FOR BORE 160x4 1289780 ,1.707,320,320,100,MM,10240
1001002835-1289802,BOSSARD,RETAINING RING FOR BORE 170x4 1289802 ,1.707,320,320,100,MM,10240
1001002835-1289829,BOSSARD,RETAINING RING FOR BORE 180x4 1289829 ,1.707,320,320,100,MM,10240
1001002835-1289926,BOSSARD,RETAINING RING FOR BORE 240x5 1289926 ,1.707,320,320,100,MM,10240
1001002835-1289934,BOSSARD,RETAINING RING FOR BORE 250x5 1289934 ,1.707,320,320,100,MM,10240
1001002835-1289969,BOSSARD,RETAINING RING FOR BORE 280x5 1289969 ,1.707,320,320,100,MM,10240
1001002835-1289985,BOSSARD,RETAINING RING FOR BORE 300x5 1289985 ,1.707,320,320,100,MM,10240
1001002797-HPI-T 2000W E40 220V,PHILIPS,LIGHT BULBS HPI-T 2000W E40 220V,2.110,430,290,101.5,MM,12657.05
1001002794-78-054-23,STANLEY,PISTON RING COMPRESSOR 78-054-23,1.733,200,200,260,MM,10400
1001002794-78-207-23,STANLEY,CIRCUIT TESTER 78-207-23,1.667,20,20,25,CM,10000
1001002794-78-386-23,STANLEY,CIRCUIT TESTER 78-386-23,1.667,20,20,25,CM,10000
1001002794-78-208-23,STANLEY,CIRCUIT TESTER-6V.12V 78-208-23,1.667,20,20,25,CM,10000
1001002795-415,ZECA,RADIATOR TESTER 415,3.353,475,385,110,MM,20116.25
1001002794-68-070-23,STANLEY,SCREWDRIVER INSERT BIT 9PC SET 68-070-23,1.421,21.2,416,967,MM,8528.1664
1001000368-RS-06DR,GEA,MINI BAR 82W RS-06DR,17.538,43.9,47,51,CM,105228.3
1001002810-1600A001RR,BOSCH,CARRYING CASE SYSTEM LBOXX 136,3.971,442,151,357,MM,23826.894
1001002810-060194C704,BOSCH,HEAT GUN GHG 630 DCE,2.403,256,256,220,MM,14417.92
1001002794-34-132-20,STANLEY,LONG TAPES 100INC/30M 34-132-20,1.903,292,343,114,MM,11417.784
1001002855-1450738,FESTO,MOTOR CABLE NEBM-S1W9-E-5-Q5-LE6,1.563,250,250,150,MM,9375
1001002855-1451676,FESTO,ENCODER CABLE NEBM-M12W8-E-5-LE8,1.563,250,250,150,MM,9375
1001002835-2102226,BOSSARD,LOBE KNOBS THERMOSET M6 2102226,1.253,235,200,160,MM,7520
